,participant,phase,trial,context,left_option,middle_option,right_option,choice,correct,reward,reward_unchosen_1,reward_unchosen_2,RT,ID,condition,?,task,tier
0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,86.0,51.0,14.0,3567.0,4011589439.0,1.0,2.0,0,0.0
1,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0,88.0,56.0,2952.0,4011589439.0,1.0,2.0,0,0.0
2,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,88.0,50.0,21.0,2143.0,4011589439.0,1.0,2.0,0,0.0
3,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,83.0,51.0,18.0,1166.0,4011589439.0,1.0,2.0,0,0.0
4,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,88.0,53.0,9.0,752.0,4011589439.0,1.0,2.0,0,0.0
5,0.0,0.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,87.0,52.0,10.0,1114.0,4011589439.0,1.0,2.0,0,0.0
6,0.0,0.0,6.0,2.0,4.0,3.0,,1.0,1.0,83.0,14.0,,1140.0,4011589439.0,1.0,2.0,0,0.0
7,0.0,0.0,7.0,2.0,4.0,,3.0,2.0,1.0,83.0,12.0,,808.0,4011589439.0,1.0,2.0,0,0.0
8,0.0,0.0,8.0,2.0,3.0,4.0,,0.0,1.0,82.0,12.0,,680.0,4011589439.0,1.0,2.0,0,0.0
9,0.0,0.0,9.0,2.0,,3.0,4.0,1.0,1.0,92.0,16.0,,1196.0,4011589439.0,1.0,2.0,0,0.0
10,0.0,0.0,10.0,2.0,,3.0,4.0,1.0,1.0,87.0,21.0,,726.0,4011589439.0,1.0,2.0,0,0.0
11,0.0,0.0,11.0,2.0,4.0,,3.0,2.0,1.0,87.0,15.0,,942.0,4011589439.0,1.0,2.0,0,0.0
12,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,13.0,86.0,48.0,1512.0,4011589439.0,1.0,2.0,0,0.0
13,0.0,1.0,1.0,2.0,4.0,,3.0,0.0,0.0,15.0,84.0,0.0,1170.0,4011589439.0,1.0,2.0,0,0.0
14,0.0,1.0,2.0,3.0,7.0,6.0,5.0,1.0,0.0,27.0,48.0,19.0,673.0,4011589439.0,1.0,2.0,0,0.0
15,0.0,1.0,3.0,4.0,8.0,,9.0,2.0,0.0,17.0,49.0,0.0,946.0,4011589439.0,1.0,2.0,0,0.0
16,0.0,1.0,4.0,4.0,,9.0,8.0,2.0,1.0,49.0,18.0,,756.0,4011589439.0,1.0,2.0,0,0.0
17,0.0,1.0,5.0,4.0,8.0,,9.0,0.0,1.0,49.0,12.0,,948.0,4011589439.0,1.0,2.0,0,0.0
18,0.0,1.0,6.0,3.0,6.0,5.0,7.0,0.0,0.0,27.0,55.0,11.0,652.0,4011589439.0,1.0,2.0,0,0.0
19,0.0,1.0,7.0,2.0,,3.0,4.0,1.0,1.0,79.0,19.0,,444.0,4011589439.0,1.0,2.0,0,0.0
20,0.0,1.0,8.0,2.0,4.0,3.0,,0.0,0.0,7.0,85.0,0.0,664.0,4011589439.0,1.0,2.0,0,0.0
21,0.0,1.0,9.0,1.0,0.0,2.0,1.0,2.0,0.0,45.0,90.0,14.0,622.0,4011589439.0,1.0,2.0,0,0.0
22,0.0,1.0,10.0,2.0,3.0,4.0,,1.0,0.0,10.0,88.0,0.0,1618.0,4011589439.0,1.0,2.0,0,0.0
23,0.0,1.0,11.0,4.0,8.0,9.0,,1.0,0.0,18.0,44.0,0.0,1053.0,4011589439.0,1.0,2.0,0,0.0
24,0.0,1.0,12.0,3.0,7.0,5.0,6.0,2.0,0.0,30.0,56.0,10.0,575.0,4011589439.0,1.0,2.0,0,0.0
25,0.0,1.0,13.0,4.0,,9.0,8.0,1.0,0.0,16.0,47.0,0.0,422.0,4011589439.0,1.0,2.0,0,0.0
26,0.0,1.0,14.0,2.0,4.0,,3.0,0.0,0.0,10.0,88.0,0.0,438.0,4011589439.0,1.0,2.0,0,0.0
27,0.0,1.0,15.0,1.0,0.0,2.0,1.0,2.0,0.0,52.0,85.0,13.0,406.0,4011589439.0,1.0,2.0,0,0.0
28,0.0,1.0,16.0,2.0,3.0,4.0,,0.0,1.0,91.0,5.0,,1052.0,4011589439.0,1.0,2.0,0,0.0
29,0.0,1.0,17.0,3.0,5.0,7.0,6.0,0.0,1.0,48.0,28.0,12.0,2049.0,4011589439.0,1.0,2.0,0,0.0
30,0.0,1.0,18.0,3.0,6.0,7.0,5.0,2.0,1.0,46.0,31.0,12.0,1132.0,4011589439.0,1.0,2.0,0,0.0
31,0.0,1.0,19.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0,91.0,47.0,3403.0,4011589439.0,1.0,2.0,0,0.0
32,0.0,1.0,20.0,1.0,2.0,0.0,1.0,2.0,0.0,53.0,82.0,16.0,1856.0,4011589439.0,1.0,2.0,0,0.0
33,0.0,1.0,21.0,3.0,5.0,6.0,7.0,0.0,1.0,45.0,30.0,20.0,1439.0,4011589439.0,1.0,2.0,0,0.0
34,0.0,1.0,22.0,3.0,7.0,6.0,5.0,2.0,1.0,48.0,32.0,15.0,976.0,4011589439.0,1.0,2.0,0,0.0
35,0.0,1.0,23.0,4.0,8.0,9.0,,1.0,0.0,14.0,52.0,0.0,2021.0,4011589439.0,1.0,2.0,0,0.0
36,0.0,1.0,24.0,4.0,,9.0,8.0,2.0,1.0,45.0,23.0,,1082.0,4011589439.0,1.0,2.0,0,0.0
37,0.0,1.0,25.0,4.0,9.0,8.0,,1.0,1.0,54.0,20.0,,972.0,4011589439.0,1.0,2.0,0,0.0
38,0.0,1.0,26.0,4.0,8.0,,9.0,0.0,1.0,54.0,14.0,,764.0,4011589439.0,1.0,2.0,0,0.0
39,0.0,1.0,27.0,2.0,3.0,4.0,,0.0,1.0,91.0,9.0,,4181.0,4011589439.0,1.0,2.0,0,0.0
40,0.0,1.0,28.0,4.0,9.0,,8.0,2.0,1.0,50.0,8.0,,2561.0,4011589439.0,1.0,2.0,0,0.0
41,0.0,1.0,29.0,1.0,0.0,1.0,2.0,1.0,0.0,54.0,93.0,11.0,4611.0,4011589439.0,1.0,2.0,0,0.0
42,0.0,1.0,30.0,3.0,7.0,6.0,5.0,2.0,1.0,48.0,31.0,16.0,902.0,4011589439.0,1.0,2.0,0,0.0
43,0.0,1.0,31.0,2.0,3.0,,4.0,0.0,1.0,81.0,11.0,,1852.0,4011589439.0,1.0,2.0,0,0.0
44,0.0,1.0,32.0,2.0,3.0,,4.0,0.0,1.0,75.0,16.0,,616.0,4011589439.0,1.0,2.0,0,0.0
45,0.0,1.0,33.0,2.0,,3.0,4.0,1.0,1.0,85.0,17.0,,1416.0,4011589439.0,1.0,2.0,0,0.0
46,0.0,1.0,34.0,2.0,4.0,,3.0,2.0,1.0,81.0,14.0,,815.0,4011589439.0,1.0,2.0,0,0.0
47,0.0,1.0,35.0,3.0,6.0,5.0,7.0,1.0,1.0,51.0,35.0,12.0,1302.0,4011589439.0,1.0,2.0,0,0.0
48,0.0,1.0,36.0,1.0,2.0,0.0,1.0,1.0,1.0,85.0,57.0,7.0,3521.0,4011589439.0,1.0,2.0,0,0.0
49,0.0,1.0,37.0,1.0,2.0,1.0,0.0,2.0,1.0,88.0,51.0,18.0,714.0,4011589439.0,1.0,2.0,0,0.0
50,0.0,1.0,38.0,2.0,4.0,3.0,,1.0,1.0,82.0,17.0,,810.0,4011589439.0,1.0,2.0,0,0.0
51,0.0,1.0,39.0,4.0,8.0,9.0,,0.0,1.0,49.0,12.0,,825.0,4011589439.0,1.0,2.0,0,0.0
52,0.0,1.0,40.0,1.0,0.0,2.0,1.0,0.0,1.0,82.0,47.0,13.0,1381.0,4011589439.0,1.0,2.0,0,0.0
53,0.0,1.0,41.0,3.0,7.0,5.0,6.0,1.0,1.0,57.0,37.0,4.0,1081.0,4011589439.0,1.0,2.0,0,0.0
54,0.0,1.0,42.0,1.0,0.0,1.0,2.0,0.0,1.0,87.0,46.0,21.0,1926.0,4011589439.0,1.0,2.0,0,0.0
55,0.0,1.0,43.0,4.0,,8.0,9.0,1.0,1.0,46.0,16.0,,958.0,4011589439.0,1.0,2.0,0,0.0
56,0.0,1.0,44.0,3.0,7.0,6.0,5.0,2.0,1.0,54.0,30.0,18.0,1957.0,4011589439.0,1.0,2.0,0,0.0
