participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
0,0,0,0,3,1.75118712,noncompositional,0.0,oddneg
0,0,0,1,1,12.11196306,noncompositional,1.0,oddneg
0,0,0,2,1,11.99422916,noncompositional,2.0,oddneg
0,0,0,3,3,1.69392907,noncompositional,3.0,oddneg
0,0,0,4,5,0.35761899,noncompositional,4.0,oddneg
0,1,0,0,0,5.09524554,noncompositional,0.0,evenpos
0,1,0,1,1,0.64604776,noncompositional,1.0,evenpos
0,1,0,2,2,5.92271233,noncompositional,2.0,evenpos
0,1,0,3,3,5.93332875,noncompositional,3.0,evenpos
0,1,0,4,4,7.23246062,noncompositional,4.0,evenpos
0,2,0,0,5,5.95973445,noncompositional,0.0,evenneg
0,2,0,1,4,5.76446601,noncompositional,1.0,evenneg
0,2,0,2,3,7.12588059,noncompositional,2.0,evenneg
0,2,0,3,2,6.91569387,noncompositional,3.0,evenneg
0,2,0,4,1,1.64432821,noncompositional,4.0,evenneg
0,3,0,0,0,1.95718223,noncompositional,0.0,oddneg
0,3,0,1,1,6.51162071,noncompositional,1.0,oddneg
0,3,0,2,2,1.0378987,noncompositional,2.0,oddneg
0,3,0,3,3,6.54934137,noncompositional,3.0,oddneg
0,3,0,4,4,6.40559652,noncompositional,4.0,oddneg
0,4,0,0,0,6.54170693,noncompositional,0.0,evenpos
0,4,0,1,2,6.68009919,noncompositional,1.0,evenpos
0,4,0,2,4,5.58991786,noncompositional,2.0,evenpos
0,4,0,3,5,5.76236986,noncompositional,3.0,evenpos
0,4,0,4,1,0.80592215,noncompositional,4.0,evenpos
0,5,0,0,0,1.79201724,noncompositional,0.0,oddneg
0,5,0,1,2,2.36584848,noncompositional,1.0,oddneg
0,5,0,2,4,3.22559551,noncompositional,2.0,oddneg
0,5,0,3,5,1.41476401,noncompositional,3.0,oddneg
0,5,0,4,3,3.60125291,noncompositional,4.0,oddneg
0,6,0,0,5,8.40944055,noncompositional,0.0,oddpos
0,6,0,1,4,8.6280375,noncompositional,1.0,oddpos
0,6,0,2,3,6.71241434,noncompositional,2.0,oddpos
0,6,0,3,2,4.72161539,noncompositional,3.0,oddpos
0,6,0,4,1,10.89427351,noncompositional,4.0,oddpos
0,7,0,0,0,3.29056225,noncompositional,0.0,evenneg
0,7,0,1,1,0.81266385,noncompositional,1.0,evenneg
0,7,0,2,2,3.55257279,noncompositional,2.0,evenneg
0,7,0,3,3,2.91408724,noncompositional,3.0,evenneg
0,7,0,4,4,2.86490029,noncompositional,4.0,evenneg
0,8,0,0,0,6.39297481,noncompositional,0.0,evenneg
0,8,0,1,1,0.5373686,noncompositional,1.0,evenneg
0,8,0,2,2,5.50312773,noncompositional,2.0,evenneg
0,8,0,3,5,1.38569671,noncompositional,3.0,evenneg
0,8,0,4,4,2.28111297,noncompositional,4.0,evenneg
0,9,0,0,5,7.50050923,noncompositional,0.0,evenpos
0,9,0,1,4,7.22963909,noncompositional,1.0,evenpos
0,9,0,2,3,7.78678345,noncompositional,2.0,evenpos
0,9,0,3,2,6.49263477,noncompositional,3.0,evenpos
0,9,0,4,1,1.56043928,noncompositional,4.0,evenpos
0,10,0,0,0,0.55831344,noncompositional,0.0,oddpos
0,10,0,1,5,4.15783271,noncompositional,1.0,oddpos
0,10,0,2,3,4.04452494,noncompositional,2.0,oddpos
0,10,0,3,2,0.64650413,noncompositional,3.0,oddpos
0,10,0,4,4,4.57864166,noncompositional,4.0,oddpos
0,11,0,0,4,2.03605187,noncompositional,0.0,evenneg
0,11,0,1,5,0.0,noncompositional,1.0,evenneg
0,11,0,2,1,3.62626838,noncompositional,2.0,evenneg
0,11,0,3,0,9.51114678,noncompositional,3.0,evenneg
0,11,0,4,2,10.89498656,noncompositional,4.0,evenneg
0,12,0,0,0,1.18392598,noncompositional,0.0,oddneg
0,12,0,1,1,4.55212916,noncompositional,1.0,oddneg
0,12,0,2,5,0.88335771,noncompositional,2.0,oddneg
0,12,0,3,4,1.53696004,noncompositional,3.0,oddneg
0,12,0,4,3,2.46394683,noncompositional,4.0,oddneg
0,13,0,0,0,8.36807248,noncompositional,0.0,evenpos
0,13,0,1,1,2.9470049,noncompositional,1.0,evenpos
0,13,0,2,2,7.92876467,noncompositional,2.0,evenpos
0,13,0,3,3,6.6010237,noncompositional,3.0,evenpos
0,13,0,4,4,6.59185762,noncompositional,4.0,evenpos
0,14,0,0,5,7.58929749,noncompositional,0.0,oddpos
0,14,0,1,4,6.43294535,noncompositional,1.0,oddpos
0,14,0,2,3,5.89112465,noncompositional,2.0,oddpos
0,14,0,3,2,3.79585732,noncompositional,3.0,oddpos
0,14,0,4,1,10.59980557,noncompositional,4.0,oddpos
0,15,0,0,0,0.68914477,noncompositional,0.0,oddpos
0,15,0,1,2,1.31417069,noncompositional,1.0,oddpos
0,15,0,2,5,7.44548335,noncompositional,2.0,oddpos
0,15,0,3,4,7.23485542,noncompositional,3.0,oddpos
0,15,0,4,3,6.10972429,noncompositional,4.0,oddpos
